appid,name,publisher,score,genre_Accounting,genre_Action,genre_Adventure,genre_Animation&Modeling,genre_AudioProduction,genre_Casual,genre_Design&Illustration,genre_Documentary,genre_EarlyAccess,genre_Education,genre_FreetoPlay,genre_GameDevelopment,genre_Gore,genre_Indie,genre_MassivelyMultiplayer,genre_Movie,genre_Nudity,genre_PhotoEditing,genre_RPG,genre_Racing,genre_SexualContent,genre_Simulation,genre_SoftwareTraining,genre_Sports,genre_Strategy,genre_Tutorial,genre_Utilities,genre_VideoProduction,genre_Violent,genre_WebPublishing,genre_nan
735580,11-11 Memories Retold,BANDAI NAMCO Entertainment Europe,27.34409392488131,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960090,Bloons TD 6,Ninja Kiwi,27.34406512345414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
255710,Cities: Skylines,Paradox Interactive,27.32785963372537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
872790,Football Manager 2019,SEGA,27.30681126520324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
220,Half-Life 2,Valve,27.279368889220653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348820,FIM Speedway Grand Prix 15,SoftPlanet,27.22779895441037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
908520,fpsVR,SBSoftLab,27.22752129331808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
275850,No Man's Sky,Hello Games,27.210220298328224,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367520,Hollow Knight,Team Cherry,27.13857973794069,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477160,Human: Fall Flat,Curve Games,27.1167146557533,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
270880,American Truck Simulator,SCS Software,27.09501338731213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
221380,Age of Empires II (2013),Xbox Game Studios,27.07747085676629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220200,Kerbal Space Program,Private Division ,27.024897130401477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
289070,Sid Meier’s Civilization VI,"2K, Aspyr (Mac), Aspyr (Linux)",26.998637555272232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
786520,SAO Utils: Beta,Studio GPBeta,26.97827202012295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211820,Starbound,Chucklefish,26.97805760115968,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
568320,Pictopix,Tomlab Games,26.973479113592123,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22380,Fallout: New Vegas,Bethesda Softworks,26.938136428021203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
251290,The Legend of Heroes: Trails in the Sky SC,"XSEED Games, Marvelous USA, Inc.",26.9141159047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
991780,Notes of Soul,（Hong Kong）GKD Game Studio,26.89748577197673,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
363970,Clicker Heroes,Playsaurus,26.860798556599413,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
22490,Fallout: New Vegas,Bethesda Softworks,26.82353853151109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233860,Kenshi,Lo-Fi Games,26.80322852829426,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
431730,Aseprite,Igara Studio,26.726467549033465,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322170,Geometry Dash,RobTop Games,26.71453743517319,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588650,Dead Cells,Motion Twin,26.692946835911776,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284160,BeamNG.drive,BeamNG,26.672881049517315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
281990,Stellaris,Paradox Interactive,26.61242048905161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70,Half-Life,Valve,26.60443241656761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508440,Totally Accurate Battle Simulator,Landfall,26.4775382442593,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
457140,Oxygen Not Included,Klei Entertainment,26.4695778839274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
585410,GameMaker Studio 2 Desktop,YoYo Games Ltd.,26.46839981946546,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
814380,Sekiro: Shadows Die Twice - GOTY Edition,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",26.45268276938705,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464450,DoDonPachi Resurrection,Degica,26.37972870552034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264710,Subnautica,Unknown Worlds Entertainment,26.37175121465122,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812140,Assassin's Creed Odyssey,Ubisoft,26.33874070636195,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
709920,Tametsi,Grip Top Games,26.292050621840566,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525920,Pro Cycling Manager 2017,Focus Home Interactive,26.244922293456806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
236430,DARK SOULS II,"BANDAI NAMCO Entertainment, FromSoftware, Inc",26.23312339206508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
286160,Tabletop Simulator,Berserk Games,26.219171267434945,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
203160,Tomb Raider,"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",26.21166542624831,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc., Electronic Arts",26.194026278053627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
387990,Scrap Mechanic,Axolot Games,26.17697277651714,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
248170,Clickteam Fusion 2.5,Clickteam,26.139325436581917,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
219990,Grim Dawn,Crate Entertainment,26.092508424955263,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
888790,Sabbat of the Witch,NekoNyan Ltd.,26.075375125018112,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
722060,Dominions 5 - Warriors of the Faith,Illwinter Game Design,26.03544412107903,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
516750,My Summer Car,Amistech Games,25.991247025752024,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
212680,FTL: Faster Than Light,Subset Games,25.981227905247323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
620980,Beat Saber,Beat Games,25.973592923782565,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573090,Stormworks: Build and Rescue,Geometa,25.959810580019514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
306130,The Elder Scrolls Online,Bethesda Softworks,25.9327216413278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
406550,Umineko When They Cry - Question Arcs,MangaGamer,25.924907329317666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311690,Enter the Gungeon,Devolver Digital,25.92181889575066,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285110,GearCity,Visual Entertainment And Technologies,25.894928199707373,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
748490,The Legend of Heroes: Trails of Cold Steel II,"XSEED Games, Marvelous USA, Inc.",25.891988694915785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Half-Life: Opposing Force,Valve,25.851705043242145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410340,Liftoff: FPV Drone Racing,LuGus Studios,25.829494832660306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
65800,Dungeon Defenders,Trendy Entertainment,25.81505308727908,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
